id,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
1,5,0.42,0.24,2,0.06,19,50,0.9917,3.72,0.74,14,1
2,7.3,0.45,0.36,5.9,0.074,12,87,0.9978,3.33,0.83,10.5,0
3,8.9,0.24,0.39,1.6,0.074,3,10,0.99698,3.12,0.59,9.5,1
4,7.8,0.6,0.26,2,0.08,31,131,0.99622,3.21,0.52,9.9,0
5,10.8,0.45,0.33,2.5,0.099,20,38,0.99818,3.24,0.71,10.8,0
6,8.6,0.49,0.28,1.9,0.11,20,136,0.9972,2.93,1.95,9.9,1
7,9.5,0.59,0.44,2.3,0.071,21,68,0.9992,3.46,0.63,9.5,0
8,8.2,0.57,0.26,2.2,0.06,28,65,0.9959,3.3,0.43,10.1,0
9,8.3,0.26,0.42,2,0.08,11,27,0.9974,3.21,0.8,9.4,1
10,12,0.38,0.56,2.1,0.093,6,24,0.99925,3.14,0.71,10.9,1
11,7,0.54,0,2.1,0.079,39,55,0.9956,3.39,0.84,11.4,1
12,13.2,0.46,0.52,2.2,0.071,12,35,1.0006,3.1,0.56,9,1
13,10.2,0.34,0.48,2.1,0.052,5,9,0.99458,3.2,0.69,12.1,1
14,7.1,0.685,0.35,2,0.088,9,92,0.9963,3.28,0.62,9.4,0
15,6.4,0.56,0.15,1.8,0.078,17,65,0.99294,3.33,0.6,10.5,1
16,6.6,0.44,0.15,2.1,0.076,22,53,0.9957,3.32,0.62,9.3,0
17,7.8,0.64,0.1,6,0.115,5,11,0.9984,3.37,0.69,10.1,1
18,8.6,0.725,0.24,6.6,0.117,31,134,1.0014,3.32,1.07,9.3,0
19,11.1,0.44,0.42,2.2,0.064,14,19,0.99758,3.25,0.57,10.4,1
20,12.6,0.39,0.49,2.5,0.08,8,20,0.9992,3.07,0.82,10.3,1
21,7.4,0.74,0.07,1.7,0.086,15,48,0.99502,3.12,0.48,10,0
22,13.8,0.49,0.67,3,0.093,6,15,0.9986,3.02,0.93,12,1
23,8.2,0.42,0.49,2.6,0.084,32,55,0.9988,3.34,0.75,8.7,1
24,9.3,0.39,0.44,2.1,0.107,34,125,0.9978,3.14,1.22,9.5,0
25,8.2,0.7,0.23,2,0.099,14,81,0.9973,3.19,0.7,9.4,0
26,11.6,0.42,0.53,3.3,0.105,33,98,1.001,3.2,0.95,9.2,0
27,8.8,0.685,0.26,1.6,0.088,16,23,0.99694,3.32,0.47,9.4,0
28,8.9,0.565,0.34,3,0.093,16,112,0.9998,3.38,0.61,9.5,0
29,10.4,0.24,0.46,1.8,0.075,6,21,0.9976,3.25,1.02,10.8,1
30,7,0.58,0.28,4.8,0.085,12,69,0.99633,3.32,0.7,11,1
31,6.4,0.69,0,1.65,0.055,7,12,0.99162,3.47,0.53,12.9,1
32,7.6,0.685,0.23,2.3,0.111,20,84,0.9964,3.21,0.61,9.3,0
33,8.9,0.48,0.24,2.85,0.094,35,106,0.9982,3.1,0.53,9.2,0
34,13,0.32,0.65,2.6,0.093,15,47,0.9996,3.05,0.61,10.6,0
35,9.9,0.44,0.46,2.2,0.091,10,41,0.99638,3.18,0.69,11.9,1
36,6.4,0.67,0.08,2.1,0.045,19,48,0.9949,3.49,0.49,11.4,1
37,8.3,0.49,0.36,1.8,0.222,6,16,0.998,3.18,0.6,9.5,1
38,6.7,0.28,0.28,2.4,0.012,36,100,0.99064,3.26,0.39,11.7,1
39,8.5,0.46,0.31,2.25,0.078,32,58,0.998,3.33,0.54,9.8,0
40,8,0.62,0.35,2.8,0.086,28,52,0.997,3.31,0.62,10.8,0
41,7.5,0.43,0.3,2.2,0.062,6,12,0.99495,3.44,0.72,11.5,1
42,7.1,0.59,0.01,2.3,0.08,27,43,0.9955,3.42,0.58,10.7,1
43,11.6,0.32,0.55,2.8,0.081,35,67,1.0002,3.32,0.92,10.8,1
44,7.1,0.35,0.29,2.5,0.096,20,53,0.9962,3.42,0.65,11,1
45,8.9,0.635,0.37,1.7,0.263,5,62,0.9971,3,1.09,9.3,0
46,12.5,0.46,0.63,2,0.071,6,15,0.9988,2.99,0.87,10.2,0
47,9.6,0.56,0.31,2.8,0.089,15,46,0.9979,3.11,0.92,10,1
48,9.4,0.24,0.33,2.3,0.061,52,73,0.99786,3.47,0.9,10.2,1
49,10.4,0.575,0.61,2.6,0.076,11,24,1,3.16,0.69,9,0
50,7.8,0.39,0.42,2,0.086,9,21,0.99526,3.39,0.66,11.6,1
51,6.5,0.51,0.15,3,0.064,12,27,0.9929,3.33,0.59,12.8,1
52,9,0.8,0.12,2.4,0.083,8,28,0.99836,3.33,0.65,10.4,1
53,7.5,0.63,0.27,2,0.083,17,91,0.99616,3.26,0.58,9.8,1
54,7.2,0.62,0.01,2.3,0.065,8,46,0.99332,3.32,0.51,11.8,1
55,9.2,0.92,0.24,2.6,0.087,12,93,0.9998,3.48,0.54,9.8,0
56,8.7,0.31,0.46,1.4,0.059,11,25,0.9966,3.36,0.76,10.1,1
57,6.1,0.32,0.25,2.3,0.071,23,58,0.99633,3.42,0.97,10.6,0
58,7.7,0.58,0.1,1.8,0.102,28,109,0.99565,3.08,0.49,9.8,1
59,9.3,0.655,0.26,2,0.096,5,35,0.99738,3.25,0.42,9.6,0
60,6.9,0.41,0.33,2.2,0.081,22,36,0.9949,3.41,0.75,11.1,1
61,7.2,0.25,0.37,2.5,0.063,11,41,0.99439,3.52,0.8,12.4,1
62,6.8,0.48,0.25,2,0.076,29,61,0.9953,3.34,0.6,10.4,0
63,6.6,0.88,0.04,2.2,0.066,12,20,0.99636,3.53,0.56,9.9,0
64,10,0.56,0.24,2.2,0.079,19,58,0.9991,3.18,0.56,10.1,1
65,6,0.31,0.47,3.6,0.067,18,42,0.99549,3.39,0.66,11,1
66,8.3,0.76,0.29,4.2,0.075,12,16,0.9965,3.45,0.68,11.5,1
67,8.4,0.52,0.22,2.7,0.084,4,18,0.99682,3.26,0.57,9.9,1
68,6.7,0.42,0.27,8.6,0.068,24,148,0.9948,3.16,0.57,11.3,1
69,10.5,0.51,0.64,2.4,0.107,6,15,0.9973,3.09,0.66,11.8,1
70,10.5,0.28,0.51,1.7,0.08,10,24,0.9982,3.2,0.89,9.4,1
71,7.4,0.47,0.46,2.2,0.114,7,20,0.99647,3.32,0.63,10.5,0
72,10.6,0.31,0.49,2.5,0.067,6,21,0.9987,3.26,0.86,10.7,1
73,9.1,0.25,0.34,2,0.071,45,67,0.99769,3.44,0.86,10.2,1
74,8.1,0.82,0,4.1,0.095,5,14,0.99854,3.36,0.53,9.6,0
75,6.6,0.7,0.08,2.6,0.106,14,27,0.99665,3.44,0.58,10.2,0
76,11.1,0.31,0.53,2.2,0.06,3,10,0.99572,3.02,0.83,10.9,1
77,7.1,0.66,0,3.9,0.086,17,45,0.9976,3.46,0.54,9.5,0
78,7.7,0.53,0.06,1.7,0.074,9,39,0.99615,3.35,0.48,9.8,1
79,9.9,0.63,0.24,2.4,0.077,6,33,0.9974,3.09,0.57,9.4,0
80,8.6,0.8,0.11,2.3,0.084,12,31,0.9979,3.4,0.48,9.9,0
81,7.8,0.815,0.01,2.6,0.074,48,90,0.99621,3.38,0.62,10.8,0
82,8.8,0.24,0.54,2.5,0.083,25,57,0.9983,3.39,0.54,9.2,0
83,9.2,0.67,0.1,3,0.091,12,48,0.99888,3.31,0.54,9.5,1
84,5.4,0.58,0.08,1.9,0.059,20,31,0.99484,3.5,0.64,10.2,1
85,6.9,0.56,0.03,1.5,0.086,36,46,0.99522,3.53,0.57,10.6,0
86,7.4,0.37,0.43,2.6,0.082,18,82,0.99708,3.33,0.68,9.7,1
87,8.7,0.54,0.26,2.5,0.097,7,31,0.9976,3.27,0.6,9.3,1
88,7.5,0.725,0.04,1.5,0.076,8,15,0.99508,3.26,0.53,9.6,0
89,7.5,0.57,0.02,2.6,0.077,11,35,0.99557,3.36,0.62,10.8,1
90,7,0.745,0.12,1.8,0.114,15,64,0.99588,3.22,0.59,9.5,1
91,8.8,0.46,0.45,2.6,0.065,7,18,0.9947,3.32,0.79,14,1
92,7.9,0.69,0.21,2.1,0.08,33,141,0.9962,3.25,0.51,9.9,0
93,8.2,0.24,0.34,5.1,0.062,8,22,0.9974,3.22,0.94,10.9,1
94,7.4,0.66,0,1.8,0.075,13,40,0.9978,3.51,0.56,9.4,0
95,8.3,0.6,0.25,2.2,0.118,9,38,0.99616,3.15,0.53,9.8,0
96,8.4,0.65,0.6,2.1,0.112,12,90,0.9973,3.2,0.52,9.2,0
97,8,0.45,0.23,2.2,0.094,16,29,0.9962,3.21,0.49,10.2,1
98,8.2,0.34,0.38,2.5,0.08,12,57,0.9978,3.3,0.47,9,1
99,10.6,0.36,0.57,2.3,0.087,6,20,0.99676,3.14,0.72,11.1,1
100,10.2,0.42,0.57,3.4,0.07,4,10,0.9971,3.04,0.63,9.6,0
101,6.8,0.68,0.09,3.9,0.068,15,29,0.99524,3.41,0.52,11.1,0
102,7.1,0.59,0.01,2.3,0.08,27,43,0.9955,3.42,0.58,10.7,1
103,8,0.28,0.44,1.8,0.081,28,68,0.99501,3.36,0.66,11.2,0
104,11.4,0.46,0.5,2.7,0.122,4,17,1.0006,3.13,0.7,10.2,0
105,11.5,0.41,0.52,3,0.08,29,55,1.0001,3.26,0.88,11,0
106,6.2,0.52,0.08,4.4,0.071,11,32,0.99646,3.56,0.63,11.6,1
107,8,0.31,0.45,2.1,0.216,5,16,0.99358,3.15,0.81,12.5,1
108,11.5,0.315,0.54,2.1,0.084,5,15,0.9987,2.98,0.7,9.2,1
109,7.9,0.43,0.21,1.6,0.106,10,37,0.9966,3.17,0.91,9.5,0
110,7.5,0.57,0.08,2.6,0.089,14,27,0.99592,3.3,0.59,10.4,1
111,12.4,0.35,0.49,2.6,0.079,27,69,0.9994,3.12,0.75,10.4,1
112,10.7,0.35,0.53,2.6,0.07,5,16,0.9972,3.15,0.65,11,1
113,7.8,0.32,0.44,2.7,0.104,8,17,0.99732,3.33,0.78,11,1
114,7.6,0.52,0.12,3,0.067,12,53,0.9971,3.36,0.57,9.1,0
115,7.9,0.58,0.23,2.3,0.076,23,94,0.99686,3.21,0.58,9.5,1
116,9.2,0.31,0.36,2.2,0.079,11,31,0.99615,3.33,0.86,12,1
